省份,年份,猪肉（千克/人）,牛肉（千克/人）,羊肉（千克/人）,禽肉（千克/人）,水产品（千克/人）,蛋类（千克/人）,奶类（千克/人）,缺失分项数
上海,2000,,,,,,,,7
上海,2001,,,,,,,,7
上海,2002,,,,,,,,7
上海,2003,,,,,,,,7
上海,2004,,,,,,,,7
上海,2005,,,,,,,,7
上海,2006,,,,,,,,7
上海,2007,,,,,,,,7
上海,2008,,,,,,,,7
上海,2009,,,,,,,,7
上海,2010,,,,,,,,7
上海,2011,,,,,,,,7
上海,2012,,,,,,,,7
上海,2013,,,,,,,,7
上海,2014,,,,,,,,7
云南,2000,,,,,,,,7
云南,2001,,,,,,,,7
云南,2002,,,,,,,,7
云南,2003,,,,,,,,7
云南,2004,,,,,,,,7
云南,2005,,,,,,,,7
云南,2006,,,,,,,,7
云南,2007,,,,,,,,7
云南,2008,,,,,,,,7
云南,2009,,,,,,,,7
云南,2010,,,,,,,,7
云南,2011,,,,,,,,7
云南,2012,,,,,,,,7
云南,2013,,,,,,,,7
云南,2014,,,,,,,,7
内蒙古,2000,,,,,,,,7
内蒙古,2001,,,,,,,,7
内蒙古,2002,,,,,,,,7
内蒙古,2003,,,,,,,,7
内蒙古,2004,,,,,,,,7
内蒙古,2005,,,,,,,,7
内蒙古,2006,,,,,,,,7
内蒙古,2007,,,,,,,,7
内蒙古,2008,,,,,,,,7
内蒙古,2009,,,,,,,,7
内蒙古,2010,,,,,,,,7
内蒙古,2011,,,,,,,,7
内蒙古,2012,,,,,,,,7
内蒙古,2013,,,,,,,,7
内蒙古,2014,,,,,,,,7
北京,2000,,,,,,,,7
北京,2001,,,,,,,,7
北京,2002,,,,,,,,7
北京,2003,,,,,,,,7
北京,2004,,,,,,,,7
北京,2005,,,,,,,,7
北京,2006,,,,,,,,7
北京,2007,,,,,,,,7
北京,2008,,,,,,,,7
北京,2009,,,,,,,,7
北京,2010,,,,,,,,7
北京,2011,,,,,,,,7
北京,2012,,,,,,,,7
北京,2013,,,,,,,,7
北京,2014,,,,,,,,7
吉林,2000,,,,,,,,7
吉林,2001,,,,,,,,7
吉林,2002,,,,,,,,7
吉林,2003,,,,,,,,7
吉林,2004,,,,,,,,7
吉林,2005,,,,,,,,7
吉林,2006,,,,,,,,7
吉林,2007,,,,,,,,7
吉林,2008,,,,,,,,7
吉林,2009,,,,,,,,7
吉林,2010,,,,,,,,7
吉林,2011,,,,,,,,7
吉林,2012,,,,,,,,7
吉林,2013,,,,,,,,7
吉林,2014,,,,,,,,7
四川,2000,,,,,,,,7
四川,2001,,,,,,,,7
四川,2002,,,,,,,,7
四川,2003,,,,,,,,7
四川,2004,,,,,,,,7
四川,2005,,,,,,,,7
四川,2006,,,,,,,,7
四川,2007,,,,,,,,7
四川,2008,,,,,,,,7
四川,2009,,,,,,,,7
四川,2010,,,,,,,,7
四川,2011,,,,,,,,7
四川,2012,,,,,,,,7
四川,2013,,,,,,,,7
天津,2000,,,,,,,,7
天津,2001,,,,,,,,7
天津,2002,,,,,,,,7
天津,2003,,,,,,,,7
天津,2004,,,,,,,,7
天津,2005,,,,,,,,7
天津,2006,,,,,,,,7
天津,2007,,,,,,,,7
天津,2008,,,,,,,,7
天津,2009,,,,,,,,7
天津,2010,,,,,,,,7
天津,2011,,,,,,,,7
天津,2012,,,,,,,,7
天津,2013,,,,,,,,7
天津,2014,,,,,,,,7
宁夏,2000,,,,,,,,7
宁夏,2001,,,,,,,,7
宁夏,2002,,,,,,,,7
宁夏,2003,,,,,,,,7
宁夏,2004,,,,,,,,7
宁夏,2005,,,,,,,,7
宁夏,2006,,,,,,,,7
宁夏,2007,,,,,,,,7
宁夏,2008,,,,,,,,7
宁夏,2009,,,,,,,,7
宁夏,2010,,,,,,,,7
宁夏,2011,,,,,,,,7
宁夏,2012,,,,,,,,7
宁夏,2013,,,,,,,,7
宁夏,2014,,,,,,,,7
安徽,2000,,,,,,,,7
安徽,2001,,,,,,,,7
安徽,2002,,,,,,,,7
安徽,2003,,,,,,,,7
安徽,2004,,,,,,,,7
安徽,2005,,,,,,,,7
安徽,2006,,,,,,,,7
安徽,2007,,,,,,,,7
安徽,2008,,,,,,,,7
安徽,2009,,,,,,,,7
安徽,2010,,,,,,,,7
安徽,2011,,,,,,,,7
安徽,2012,,,,,,,,7
安徽,2013,,,,,,,,7
安徽,2014,,,,,,,,7
山东,2000,,,,,,,,7
山东,2001,,,,,,,,7
山东,2002,,,,,,,,7
山东,2003,,,,,,,,7
山东,2004,,,,,,,,7
山东,2005,,,,,,,,7
山东,2006,,,,,,,,7
山东,2007,,,,,,,,7
山东,2008,,,,,,,,7
山东,2009,,,,,,,,7
山东,2010,,,,,,,,7
山东,2011,,,,,,,,7
山东,2012,,,,,,,,7
山西,2000,,,,,,,,7
山西,2001,,,,,,,,7
山西,2002,,,,,,,,7
山西,2003,,,,,,,,7
山西,2004,,,,,,,,7
山西,2005,,,,,,,,7
山西,2006,,,,,,,,7
山西,2007,,,,,,,,7
山西,2008,,,,,,,,7
山西,2009,,,,,,,,7
山西,2010,,,,,,,,7
山西,2011,,,,,,,,7
山西,2012,,,,,,,,7
山西,2013,,,,,,,,7
山西,2014,,,,,,,,7
广东,2000,,,,,,,,7
广东,2001,,,,,,,,7
广东,2002,,,,,,,,7
广东,2003,,,,,,,,7
广东,2004,,,,,,,,7
广东,2005,,,,,,,,7
广东,2006,,,,,,,,7
广东,2007,,,,,,,,7
广东,2008,,,,,,,,7
广东,2009,,,,,,,,7
广东,2010,,,,,,,,7
广东,2011,,,,,,,,7
广东,2012,,,,,,,,7
广东,2013,27.82,,,,,,,6
广东,2014,29.04,,,,,,,6
广西,2000,,,,,,,,7
广西,2001,,,,,,,,7
广西,2002,,,,,,,,7
广西,2003,,,,,,,,7
广西,2004,,,,,,,,7
广西,2005,,,,,,,,7
广西,2006,,,,,,,,7
广西,2007,,,,,,,,7
广西,2008,,,,,,,,7
广西,2009,,,,,,,,7
广西,2010,,,,,,,,7
广西,2011,,,,,,,,7
广西,2012,,,,,,,,7
广西,2013,,,,,,,,7
广西,2014,,,,,,,,7
新疆,2000,,,,,,,,7
新疆,2001,,,,,,,,7
新疆,2002,,,,,,,,7
新疆,2003,,,,,,,,7
新疆,2004,,,,,,,,7
新疆,2005,,,,,,,,7
新疆,2006,,,,,,,,7
新疆,2007,,,,,,,,7
新疆,2008,,,,,,,,7
新疆,2009,,,,,,,,7
新疆,2010,,,,,,,,7
新疆,2011,,,,,,,,7
新疆,2012,,,,,,,,7
新疆,2013,,,,,,,,7
新疆,2014,,,,,,,,7
江苏,2000,,,,,,,,7
江苏,2001,,,,,,,,7
江苏,2002,,,,,,,,7
江苏,2003,,,,,,,,7
江苏,2004,,,,,,,,7
江苏,2005,,,,,,,,7
江苏,2006,,,,,,,,7
江苏,2007,,,,,,,,7
江苏,2008,,,,,,,,7
江苏,2009,,,,,,,,7
江苏,2010,,,,,,,,7
江苏,2011,,,,,,,,7
江苏,2012,,,,,,,,7
江西,2000,,,,,,,,7
江西,2001,,,,,,,,7
江西,2002,,,,,,,,7
江西,2003,,,,,,,,7
江西,2004,,,,,,,,7
江西,2005,,,,,,,,7
江西,2006,,,,,,,,7
江西,2007,,,,,,,,7
江西,2008,,,,,,,,7
江西,2009,,,,,,,,7
江西,2010,,,,,,,,7
江西,2011,,,,,,,,7
江西,2012,,,,,,,,7
江西,2013,,,,,,,,7
江西,2014,,,,,,,,7
河北,2000,,,,,,,,7
河北,2001,,,,,,,,7
河北,2002,,,,,,,,7
河北,2003,,,,,,,,7
河北,2004,,,,,,,,7
河北,2005,,,,,,,,7
河北,2006,,,,,,,,7
河北,2007,,,,,,,,7
河北,2008,,,,,,,,7
河北,2009,,,,,,,,7
河北,2010,,,,,,,,7
河北,2011,,,,,,,,7
河北,2012,,,,,,,,7
河南,2000,,,,,,,,7
河南,2001,,,,,,,,7
河南,2002,,,,,,,,7
河南,2003,,,,,,,,7
河南,2004,,,,,,,,7
河南,2005,,,,,,,,7
河南,2006,,,,,,,,7
河南,2007,,,,,,,,7
河南,2008,,,,,,,,7
河南,2009,,,,,,,,7
河南,2010,,,,,,,,7
河南,2011,,,,,,,,7
河南,2012,,,,,,,,7
河南,2013,,,,,,,,7
河南,2014,,,,,,,,7
浙江,2000,,,,,,,,7
浙江,2001,,,,,,,,7
浙江,2002,,,,,,,,7
浙江,2003,,,,,,,,7
浙江,2004,,,,,,,,7
浙江,2005,,,,,,,,7
浙江,2006,,,,,,,,7
浙江,2007,,,,,,,,7
浙江,2008,,,,,,,,7
浙江,2009,,,,,,,,7
浙江,2010,,,,,,,,7
浙江,2011,,,,,,,,7
浙江,2012,,,,,,,,7
浙江,2013,,,,,,,,7
浙江,2014,,,,,,,,7
海南,2000,,,,,,,,7
海南,2001,,,,,,,,7
海南,2002,,,,,,,,7
海南,2003,,,,,,,,7
海南,2004,,,,,,,,7
海南,2005,,,,,,,,7
海南,2006,,,,,,,,7
海南,2007,,,,,,,,7
海南,2008,,,,,,,,7
海南,2009,,,,,,,,7
海南,2010,,,,,,,,7
海南,2011,,,,,,,,7
海南,2012,,,,,,,,7
海南,2013,24.1,,,19.29,21.56,,,4
海南,2014,23.79,,,18.61,21.72,4.18,2.38,2
湖北,2000,,,,,,,,7
湖北,2001,,,,,,,,7
湖北,2002,,,,,,,,7
湖北,2003,,,,,,,,7
湖北,2004,,,,,,,,7
湖北,2005,,,,,,,,7
湖北,2006,,,,,,,,7
湖北,2007,,,,,,,,7
湖北,2008,,,,,,,,7
湖北,2009,,,,,,,,7
湖北,2010,,,,,,,,7
湖北,2011,,,,,,,,7
湖北,2012,,,,,,,,7
湖北,2013,,,,,,,,7
湖北,2014,,,,,,,,7
湖南,2000,,,,,,,,7
湖南,2001,,,,,,,,7
湖南,2002,,,,,,,,7
湖南,2003,,,,,,,,7
湖南,2004,,,,,,,,7
湖南,2005,,,,,,,,7
湖南,2006,,,,,,,,7
湖南,2007,,,,,,,,7
湖南,2008,,,,,,,,7
湖南,2009,,,,,,,,7
湖南,2010,,,,,,,,7
湖南,2011,,,,,,,,7
湖南,2012,,,,,,,,7
湖南,2013,,,,,,,,7
湖南,2014,,,,,,,,7
甘肃,2000,,,,,,,,7
甘肃,2001,,,,,,,,7
甘肃,2002,,,,,,,,7
甘肃,2003,,,,,,,,7
甘肃,2004,,,,,,,,7
甘肃,2005,,,,,,,,7
甘肃,2006,,,,,,,,7
甘肃,2007,,,,,,,,7
甘肃,2008,,,,,,,,7
甘肃,2009,,,,,,,,7
甘肃,2010,,,,,,,,7
甘肃,2011,,,,,,,,7
甘肃,2012,,,,,,,,7
甘肃,2013,,,,,,,,7
甘肃,2014,,,,,,,,7
福建,2000,,,,,,,,7
福建,2001,,,,,,,,7
福建,2002,,,,,,,,7
福建,2003,,,,,,,,7
福建,2004,,,,,,,,7
福建,2005,,,,,,,,7
福建,2006,,,,,,,,7
福建,2007,,,,,,,,7
福建,2008,,,,,,,,7
福建,2009,,,,,,,,7
福建,2010,,,,,,,,7
福建,2011,,,,,,,,7
福建,2012,,,,,,,,7
福建,2013,,,,,,,,7
福建,2014,,,,,,,,7
西藏,2000,,,,,,,,7
西藏,2001,,,,,,,,7
西藏,2002,,,,,,,,7
西藏,2003,,,,,,,,7
西藏,2004,,,,,,,,7
西藏,2005,,,,,,,,7
西藏,2006,,,,,,,,7
西藏,2007,,,,,,,,7
西藏,2008,,,,,,,,7
西藏,2009,,,,,,,,7
西藏,2010,,,,,,,,7
西藏,2011,,,,,,,,7
西藏,2012,,,,,,,,7
西藏,2013,,,,,,,,7
西藏,2014,,,,,,,,7
贵州,2000,,2.36,0.68,,,,,5
贵州,2001,,,,,,,,7
贵州,2002,,,,,,,,7
贵州,2003,,,,,,,,7
贵州,2004,,,,,,,,7
贵州,2005,,,,,,,,7
贵州,2006,,,,,,,,7
贵州,2007,,,,,,,,7
贵州,2008,,,,,,,,7
贵州,2009,,,,,,,,7
贵州,2010,,,,,,,,7
贵州,2011,,,,,,,,7
贵州,2012,,,,,,,,7
贵州,2013,,,,,,,,7
贵州,2014,,,,,,,,7
辽宁,2000,,,,,,,,7
辽宁,2001,,,,,,,,7
辽宁,2002,,,,,,,,7
辽宁,2003,,,,,,,,7
辽宁,2004,,,,,,,,7
辽宁,2005,,,,,,,,7
辽宁,2006,,,,,,,,7
辽宁,2007,,,,,,,,7
辽宁,2008,,,,,,,,7
辽宁,2009,,,,,,,,7
辽宁,2010,,,,,,,,7
辽宁,2011,,,,,,,,7
辽宁,2012,,,,,,,,7
辽宁,2013,,,,,,,,7
辽宁,2014,,,,,,,,7
重庆,2000,25.86,,,4.09,,5.79,,4
重庆,2001,,,,,,,,7
重庆,2002,,,,,,,,7
重庆,2003,,,,,,,,7
重庆,2004,,,,,,,,7
重庆,2005,,,,,,,,7
重庆,2006,,,,,,,,7
重庆,2007,,,,,,,,7
重庆,2008,,,,,,,,7
重庆,2009,,,,,,,,7
重庆,2010,,,,,,,,7
重庆,2011,,,,,,,,7
重庆,2012,,,,,,,,7
重庆,2013,33.2,1.31,0.39,,9.15,8.9,16.19,1
重庆,2014,33.52,1.26,0.35,,9.58,9.12,16.33,1
陕西,2000,,,,,,,,7
陕西,2001,,,,,,,,7
陕西,2002,,,,,,,,7
陕西,2003,,,,,,,,7
陕西,2004,,,,,,,,7
陕西,2005,,,,,,,,7
陕西,2006,,,,,,,,7
陕西,2007,,,,,,,,7
陕西,2008,,,,,,,,7
陕西,2009,,,,,,,,7
陕西,2010,,,,,,,,7
陕西,2011,,,,,,,,7
陕西,2012,,,,,,,,7
陕西,2013,8.7,0.6,0.7,1.5,1.7,,10.0,1
陕西,2014,9.2,0.7,0.7,1.6,1.6,,10.1,1
青海,2000,,,,,,,,7
青海,2001,,,,,,,,7
青海,2002,,,,,,,,7
青海,2003,,,,,,,,7
青海,2004,,,,,,,,7
青海,2005,,,,,,,,7
青海,2006,,,,,,,,7
青海,2007,,,,,,,,7
青海,2008,,,,,,,,7
青海,2009,,,,,,,,7
青海,2010,,,,,,,,7
青海,2011,,,,,,,,7
青海,2012,,,,,,,,7
青海,2013,,,,,,,,7
青海,2014,,,,,,,,7
黑龙江,2000,,,,,,,,7
黑龙江,2001,,,,,,,,7
黑龙江,2002,,,,,,,,7
黑龙江,2003,,,,,,,,7
黑龙江,2004,,,,,,,,7
黑龙江,2005,,,,,,,,7
黑龙江,2006,,,,,,,,7
黑龙江,2007,,,,,,,,7
黑龙江,2008,,,,,,,,7
黑龙江,2009,,,,,,,,7
黑龙江,2010,,,,,,,,7
黑龙江,2011,,,,,,,,7
黑龙江,2012,,,,,,,,7
黑龙江,2013,,,,,,,,7
黑龙江,2014,,,,,,,,7
